name,width,A_words,B_words,total_words,A_phases,B_phases,A_window,B_window,max_number_of_accumulation,reason_for_stopping_the_accumulation
word width: 8 | bus A window: 9 | bus B window: 3,8,2,1,3,"[0, 17]",[0],9,3,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 8 | bus A window: 10 | bus B window: 3,8,2,1,3,"[0, 18]",[0],10,3,3,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 8 | bus A window: 11 | bus B window: 3,8,2,1,3,"[0, 19]",[0],11,3,7,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 8 | bus A window: 12 | bus B window: 3,8,2,1,3,"[0, 20]",[0],12,3,15,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 8 | bus A window: 13 | bus B window: 3,8,2,1,3,"[0, 21]",[0],13,3,31,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 8 | bus A window: 14 | bus B window: 3,8,2,1,3,"[0, 22]",[0],14,3,63,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 8 | bus A window: 15 | bus B window: 3,8,1,1,2,[0],[0],15,3,+10000,more than 10000 accumulations
