name,width,A_words,B_words,total_words,A_phases,B_phases,A_window,B_window,max_number_of_accumulation,reason_for_stopping_the_accumulation
word width: 3 | bus A window: 17 | bus B window: 13,3,2,1,3,"[0, 20]",[0],17,13,+10000,more than 10000 accumulations
word width: 3 | bus A window: 18 | bus B window: 4,3,2,3,5,"[0, 21]","[0, 7, 14]",18,4,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 18 | bus B window: 5,3,2,2,4,"[0, 21]","[0, 8]",18,5,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 18 | bus B window: 6,3,2,2,4,"[0, 21]","[0, 9]",18,6,9,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 18 | bus B window: 7,3,2,2,4,"[0, 21]","[0, 10]",18,7,19,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 18 | bus B window: 8,3,2,2,4,"[0, 21]","[0, 11]",18,8,19,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 18 | bus B window: 9,3,2,2,4,"[0, 21]","[0, 12]",18,9,9,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 18 | bus B window: 10,3,2,2,4,"[0, 21]","[0, 13]",18,10,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 18 | bus B window: 11,3,2,2,4,"[0, 21]","[0, 14]",18,11,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 18 | bus B window: 13,3,2,1,3,"[0, 21]",[0],18,13,+10000,more than 10000 accumulations
word width: 3 | bus A window: 19 | bus B window: 4,3,2,3,5,"[0, 22]","[0, 7, 14]",19,4,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 19 | bus B window: 5,3,2,2,4,"[0, 22]","[0, 8]",19,5,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 19 | bus B window: 6,3,2,2,4,"[0, 22]","[0, 9]",19,6,9,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 19 | bus B window: 7,3,2,2,4,"[0, 22]","[0, 10]",19,7,19,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 19 | bus B window: 8,3,2,2,4,"[0, 22]","[0, 11]",19,8,40,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 19 | bus B window: 9,3,2,2,4,"[0, 22]","[0, 12]",19,9,19,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 19 | bus B window: 10,3,2,2,4,"[0, 22]","[0, 13]",19,10,9,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 19 | bus B window: 11,3,2,2,4,"[0, 22]","[0, 14]",19,11,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 19 | bus B window: 12,3,2,2,4,"[0, 22]","[0, 15]",19,12,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 19 | bus B window: 13,3,2,1,3,"[0, 22]",[0],19,13,+10000,more than 10000 accumulations
word width: 3 | bus A window: 20 | bus B window: 4,3,2,3,5,"[0, 23]","[0, 7, 14]",20,4,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 20 | bus B window: 5,3,2,2,4,"[0, 23]","[0, 8]",20,5,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 20 | bus B window: 6,3,2,2,4,"[0, 23]","[0, 9]",20,6,9,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 20 | bus B window: 7,3,2,2,4,"[0, 23]","[0, 10]",20,7,19,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 20 | bus B window: 8,3,2,2,4,"[0, 23]","[0, 11]",20,8,40,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 20 | bus B window: 9,3,2,2,4,"[0, 23]","[0, 12]",20,9,40,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 20 | bus B window: 10,3,2,2,4,"[0, 23]","[0, 13]",20,10,19,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 20 | bus B window: 11,3,2,2,4,"[0, 23]","[0, 14]",20,11,9,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 20 | bus B window: 12,3,2,2,4,"[0, 23]","[0, 15]",20,12,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 20 | bus B window: 13,3,2,1,3,"[0, 23]",[0],20,13,+10000,more than 10000 accumulations
word width: 3 | bus A window: 21 | bus B window: 4,3,2,3,5,"[0, 24]","[0, 7, 14]",21,4,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 21 | bus B window: 5,3,2,2,4,"[0, 24]","[0, 8]",21,5,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 21 | bus B window: 6,3,2,2,4,"[0, 24]","[0, 9]",21,6,9,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 21 | bus B window: 7,3,2,2,4,"[0, 24]","[0, 10]",21,7,19,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 21 | bus B window: 8,3,2,2,4,"[0, 24]","[0, 11]",21,8,40,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 21 | bus B window: 9,3,2,2,4,"[0, 24]","[0, 12]",21,9,82,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 21 | bus B window: 10,3,2,2,4,"[0, 24]","[0, 13]",21,10,40,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 21 | bus B window: 11,3,2,2,4,"[0, 24]","[0, 14]",21,11,19,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 21 | bus B window: 12,3,2,2,4,"[0, 24]","[0, 15]",21,12,9,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 21 | bus B window: 13,3,2,1,3,"[0, 24]",[0],21,13,+10000,more than 10000 accumulations
word width: 3 | bus A window: 22 | bus B window: 4,3,2,3,5,"[0, 25]","[0, 7, 14]",22,4,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 22 | bus B window: 5,3,2,2,4,"[0, 25]","[0, 8]",22,5,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 22 | bus B window: 6,3,2,2,4,"[0, 25]","[0, 9]",22,6,9,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
